"Icon","Reason","Texture"
"GFX_focus_generic_africa","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_air_production","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_air_superiority","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_alliance","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_attack_allies","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_build_infrastructure","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_communism_support","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_democratic_opposition_support","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_morale_bonus","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_naval_bases","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_navy_anti_submarine","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_oil_well","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_political_support","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_provoke_incidents","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_recon","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_reserve_divisions","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_soviet_union_ally","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_support_democracy","sprite name not found in vanilla .gfx",""
"GFX_focus_generic_trade","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_armaments_industry","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_claims_czechoslovakia","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_claims_memel","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_claims_sudetenland","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_four_year_plan","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_lebensraum","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_mefo","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_naval_production","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_propaganda","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_reichswehr_modernisation","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_rocket_artillery_focus","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_secret_rearmament","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_strengthen_the_ss","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_the_kaiser","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_the_stormtroopers","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_the_third_reich","sprite name not found in vanilla .gfx",""
"GFX_focus_ger_war_economy","sprite name not found in vanilla .gfx",""
